PROVEEDOR,DEPARTAMENTO,MUNICIPIO,SEGMENTO,Periodo_2015_4,Periodo_2016_1,Periodo_2016_2,Periodo_2016_3,Periodo_2016_4,Periodo_2017_1,Periodo_2017_2,Periodo_2017_3,Periodo_2017_4
@NY PHONE SA ESP,CUNDINAMARCA,COGUA,Sin estratificar,2,-,-,-,-,-,-,-,-
@NY PHONE SA ESP,CUNDINAMARCA,EL ROSAL,Sin estratificar,2,-,-,-,-,-,-,-,-
@NY PHONE SA ESP,CUNDINAMARCA,FACATATIVÁ,Sin estratificar,1,-,-,-,-,-,-,-,-
@NY PHONE SA ESP,CUNDINAMARCA,FUNZA,Sin estratificar,3,-,-,-,-,-,-,-,-
@NY PHONE SA ESP,CUNDINAMARCA,LA CALERA,Sin estratificar,5,-,-,-,-,-,-,-,-
@NY PHONE SA ESP,CUNDINAMARCA,MADRID,Sin estratificar,7,-,-,-,-,-,-,-,-
@NY PHONE SA ESP,CUNDINAMARCA,MOSQUERA,Sin estratificar,2,-,-,-,-,-,-,-,-
@NY PHONE SA ESP,CUNDINAMARCA,SIBATÉ,Sin estratificar,1,-,-,-,-,-,-,-,-
@NY PHONE SA ESP,CUNDINAMARCA,SOPÓ,Sin estratificar,2,-,-,-,-,-,-,-,-
@NY PHONE SA ESP,CUNDINAMARCA,SUBACHOQUE,Residencial - Estrato 3,1,-,-,-,-,-,-,-,-
@NY PHONE SA ESP,CUNDINAMARCA,TENJO,Sin estratificar,16,-,-,-,-,-,-,-,-
@NY PHONE SA ESP,CUNDINAMARCA,ZIPAQUIRÁ,Residencial - Estrato 3,2,-,-,-,-,-,-,-,-
AVANTEL S.A.S.,BOGOTÁ D.C.,"BOGOTÁ, D.C.",Corporativo,114,148,148,163,163,117,163,163,163
AVANTEL S.A.S.,BOGOTÁ D.C.,"BOGOTÁ, D.C.",Uso propio interno del operador,476,476,480,509,494,494,494,494,494
BUGATEL S.A. E.S.P.,VALLE DEL CAUCA,GUADALAJARA DE BUGA,Corporativo,3441,3440,3364,3282,3227,0,0,0,-
BUGATEL S.A. E.S.P.,VALLE DEL CAUCA,GUADALAJARA DE BUGA,Residencial - Estrato 1,1822,1819,1890,1843,1812,0,0,0,-
BUGATEL S.A. E.S.P.,VALLE DEL CAUCA,GUADALAJARA DE BUGA,Residencial - Estrato 2,6191,6181,6033,5886,5786,0,0,0,-
BUGATEL S.A. E.S.P.,VALLE DEL CAUCA,GUADALAJARA DE BUGA,Residencial - Estrato 3,4371,4366,4385,4278,4205,0,0,0,-
BUGATEL S.A. E.S.P.,VALLE DEL CAUCA,GUADALAJARA DE BUGA,Residencial - Estrato 4,1694,1693,1769,1726,1697,0,0,0,-
BUGATEL S.A. E.S.P.,VALLE DEL CAUCA,GUADALAJARA DE BUGA,Residencial - Estrato 5,874,873,931,908,893,0,0,0,-
BUGATEL S.A. E.S.P.,VALLE DEL CAUCA,GUADALAJARA DE BUGA,Residencial - Estrato 6,117,116,127,124,122,0,0,0,-
BUGATEL S.A. E.S.P.,VALLE DEL CAUCA,YOTOCO,Corporativo,0,0,0,0,-,-,-,-,-
BUGATEL S.A. E.S.P.,VALLE DEL CAUCA,YOTOCO,Residencial - Estrato 2,0,0,0,0,-,-,-,-,-
CAUCATEL S.A. E.S.P.,CAUCA,POPAYÁN,Corporativo,1545,1545,1592,1563,1528,0,0,0,-
CAUCATEL S.A. E.S.P.,CAUCA,POPAYÁN,Residencial - Estrato 1,2202,2203,2306,2263,2212,0,0,0,-
CAUCATEL S.A. E.S.P.,CAUCA,POPAYÁN,Residencial - Estrato 2,5173,5170,4842,4751,4643,0,0,0,-
CAUCATEL S.A. E.S.P.,CAUCA,POPAYÁN,Residencial - Estrato 3,5141,5135,5268,5169,5052,0,0,0,-
